"age","friends","days_active","hours_active","likes","posts","cluster_name","id","sex","name","date_of_birth","post_text","city","state","relationship_status","education","groups_joined","pages_liked","primary_device","last_active_hours_ago","events_responded","notification_setting","privacy_setting","account_age_years","photos_uploaded","comments_30days"
30.1457035965688,420,27,63,1180,34,"Young Active",1,"M","Michael Harris","1994-02-11","Can't stop thinking about dating apps. It's changed everything for me.","Portland","OR","In a relationship","Some College",11,238,"Mobile (iOS)",0.1,8,"All notifications","Only me",7.6,225,77
29.5738743385981,443,25,47,1079,41,"Young Active",2,"F","Debra Torres","1994-10-12","So frustrated with graduation right now. Need advice! #fun","San Jose","CA","In a relationship","Associate's Degree",12,92,"Mobile (iOS)",0.6,11,"Minimal notifications","Friends only",8.1,495,29
24.9877186666022,401,25,59,1198,29,"Young Active",3,"F","Mary Wilson","2000-01-23","Can't stop thinking about first job. It's changed everything for me.","Portland","OR","In a relationship","Some College",14,152,"Mobile (iOS)",3.2,8,"Important notifications only","Friends only",9.8,486,98
25.6800477620686,492,27,59,1125,27,"Young Active",4,"M","Justin Miller","1998-11-20","Spent all weekend on internships and it was totally worth it.","Dallas","TX","In a relationship","Bachelor's Degree",18,154,"Mobile (iOS)",2.3,6,"Minimal notifications","Friends only",8,450,85
36.3992322752844,160,17,19,619,17,"Middle-aged Moderate",5,"M","Daniel Davis","1988-08-26","Learned something new about youth sports today that blew my mind!","Indianapolis","IN","Married","Bachelor's Degree",8,175,"Desktop (Windows)",3.4,3,"Minimal notifications","Friends of friends",14.6,504,43
29.0093783497439,317,20,31,951,19,"Young Adult Active",6,"F","Helen Scott","1995-09-16","Anyone have recommendations for DIY projects? Looking for something new.","Dallas","TX","Married","Bachelor's Degree",14,146,"Desktop (Mac)",5.2,4,"All notifications","Public",11.4,604,75
34.8539559697586,244,17,26,383,15,"Middle-aged Moderate",7,"F","Donna Martin","1990-04-06","Question for those experienced with car maintenance: how do you handle...? 😊🎉","Columbus","OH","Married","Associate's Degree",9,98,"Tablet",0.8,1,"All notifications","Friends only",9,161,82
35.1652205207369,141,18,27,371,4,"Middle-aged Moderate",8,"F","Sharon Garcia","1989-03-24","Looking for a group in the area interested in mortgage rates. Anyone?","Miami","FL","Married","Doctoral Degree",10,113,"Mobile (Android)",8.7,6,"All notifications","Friends of friends",11.3,224,46
18.8959345554045,501,28,56,1151,33,"Young Active",9,"F","Carolyn Torres","2005-10-11","Has anyone tried the new approach to graduation? Worth it?","Portland","OR","In a relationship","Some College",7,103,"Mobile (Android)",0.4,10,"Minimal notifications","Friends of friends",5.1,545,115
34.1810385197242,195,25,44,794,31,"Young Adult Active",10,"F","Patricia Robinson","1990-05-27","Feeling conflicted about travel adventures. Thoughts?","Fort Worth","TX","Married","Associate's Degree",9,118,"Mobile (iOS)",2.5,10,"Important notifications only","Friends only",8.2,443,84
65.574858992477,91,0,0,163,5,"Senior Light",11,"F","Shirley Hill","1959-02-21","Just discovered an amazing resource for travel destinations! Game changer!","Atlanta","GA","Married","Some College",5,67,"Mobile (Android)",12.4,3,"Minimal notifications","Friends only",9.3,0,14
27.9352757353645,376,21,40,880,26,"Young Adult Active",12,"F","Rebecca Williams","1996-06-02","So proud of what I've accomplished with DIY projects this year. 👍","San Antonio","TX","Engaged","Bachelor's Degree",15,126,"Tablet",1.3,5,"All notifications","Friends of friends",8.7,179,41
54.3551130099658,108,9,13,48,5,"Senior Light",13,"F","Dorothy Moore","1970-10-20","Does anyone else struggle with health concerns or is it just me? 🎉🎉","Miami","FL","Widowed","Bachelor's Degree",3,5,"Desktop (Mac)",3.5,1,"Important notifications only","Only me",5.9,158,12
29.5603433411147,346,17,42,825,25,"Young Adult Active",14,"F","Linda Young","1995-01-26","Can't believe it's been a year since I started travel adventures!","New York","NY","In a relationship","Trade School",10,147,"Desktop (Mac)",2.1,9,"Important notifications only","Public",9.2,607,5
36.2095184665631,422,22,61,1136,28,"Young Active",15,"F","Karen Wright","1988-07-12","Just finished first job! Can't believe how much I enjoyed it. #style #motivation","San Diego","CA","Married","High School",14,144,"Mobile (iOS)",0,6,"All notifications","Friends only",6.9,557,80
35.2065658537525,465,27,73,1140,28,"Young Active",16,"M","Timothy Smith","1989-01-06","Question for those experienced with entry-level jobs: how do you handle...?","San Jose","CA","Single","High School",14,101,"Desktop (Mac)",2.9,11,"All notifications","Friends of friends",7,0,150
31.4009983163927,255,14,13,555,14,"Middle-aged Moderate",17,"F","Ashley Jones","1993-03-23","Question for those experienced with 401k planning: how do you handle...? 👏","Nashville","TN","Married","Trade School",8,117,"Mobile (iOS)",3.2,4,"Minimal notifications","Custom",7.3,211,11
28.2154667193881,234,19,48,812,22,"Young Adult Active",18,"F","Mary Roberts","1996-12-15","Does anyone else struggle with wedding planning or is it just me?","San Diego","CA","In a relationship","Associate's Degree",10,162,"Mobile (Android)",2,3,"Minimal notifications","Friends only",10.2,168,42
47.6664024608115,250,17,22,571,18,"Middle-aged Moderate",19,"M","Robert Torres","1976-11-19","Spent all weekend on parenting and it was totally worth it.","Jacksonville","FL","Married","High School",2,96,"Tablet",12.1,4,"No notifications","Friends only",5.6,137,59
39.8087795169488,130,20,13,418,17,"Middle-aged Moderate",20,"F","Jessica Johnson","1984-05-31","Has anyone tried the new approach to career advancement? Worth it? ✨🙌👏","San Diego","CA","Married","High School",7,77,"Mobile (Android)",4,6,"No notifications","Friends of friends",12.9,314,31
67.9870662116321,55,16,4,159,0,"Senior Light",21,"M","Scott Gonzalez","1956-11-02","Can't believe it's been a year since I started healthcare!","Columbus","OH","Married","Some College",3,57,"Desktop (Windows)",3.6,4,"All notifications","Friends only",3.1,50,26
58.3320730334506,211,11,1,132,3,"Senior Light",22,"M","Ryan Lee","1966-10-16","Feeling conflicted about health concerns. Thoughts?","San Diego","CA","Single","High School",4,70,"Mobile (Android)",1.4,3,"Minimal notifications","Public",9,53,5
28.0249296195769,476,30,67,1302,29,"Young Active",23,"F","Anna Miller","1996-07-16","Finally took the plunge with university life after months of hesitation. 🔥","Philadelphia","PA","Single","Graduate School",13,136,"Mobile (Android)",4.1,7,"All notifications","Public",7.5,714,126
26.1212061962513,445,30,64,1197,33,"Young Active",24,"F","Elizabeth Davis","1998-02-14","Has anyone tried the new approach to university life? Worth it? 🎉😀","Denver","CO","In a relationship","High School",15,172,"Mobile (iOS)",2.8,10,"All notifications","Friends only",6.2,836,154
76.1453474774003,129,9,0,70,0,"Senior Light",25,"M","Alexander Thompson","1948-07-25","Just discovered an amazing resource for downsizing homes! Game changer!","Charlotte","NC","Divorced","Some College",7,44,"Desktop (Windows)",8.1,2,"All notifications","Only me",3,68,9
34.6022628338626,288,21,56,872,25,"Young Adult Active",26,"M","Alexander Campbell","1990-06-08","Can't believe it's been a year since I started travel adventures! ❤️","New York","NY","Married","Associate's Degree",10,168,"Mobile (iOS)",0.2,9,"All notifications","Friends only",5.2,608,46
18.9673046539204,481,30,39,1253,30,"Young Active",27,"F","Helen Thompson","2005-12-12","Question for those experienced with entry-level jobs: how do you handle...?","Houston","TX","Single","Bachelor's Degree",9,163,"Mobile (iOS)",1.4,14,"Important notifications only","Friends of friends",5.1,624,95
56.9805941541837,63,4,12,232,5,"Senior Light",28,"F","Melissa King","1967-06-22","Looking for a group in the area interested in health concerns. Anyone?","Columbus","OH","Married","Some College",5,83,"Mobile (iOS)",3.3,1,"All notifications","Friends only",10.8,151,25
